Rupture time (hour),Al,V,Fe,Mo,N,Solution treated temp(cel),Anneal temp (cel),Annealing Time (hour),Temperature of creep test (cel),Stress (Mpa),steady state strain rate (1/s),Strain to rupture (%) (Efc)
-1.932929144,6.61,4.23,1.18,0.657175141,0.011,403.559322,551.1694915,5.009265537,600,319,3.24E-06,14.75802328
-1.515700161,6.61,4.23,1.18,0.657175141,0.011,403.559322,551.1694915,5.009265537,600,250,4.40E-05,14.75802328
-1.335358024,6.61,4.23,1.18,0.657175141,0.011,403.559322,551.1694915,5.009265537,500,520,4.43E-05,14.75802328
-1.045757491,6,4,0.4,0.657175141,0.05,403.559322,551.1694915,5.009265537,600,319,0.000352,26.58
-1.018634491,6.61,4.23,1.18,0.657175141,0.011,403.559322,551.1694915,5.009265537,600,222,2.55E-05,14.75802328
-0.958607315,6,4,0.4,0.657175141,0.05,403.559322,551.1694915,5.009265537,700,125,0.000419,55.69
-0.850780887,6.61,4.23,1.18,0.657175141,0.011,403.559322,551.1694915,5.009265537,700,56,4.33E-05,14.75802328
-0.769551079,6.33,4,0.2,0.657175141,0.01,403.559322,190,6,600,319,0.000157,17.4
-0.769551079,6.61,4.23,1.18,0.657175141,0.011,403.559322,950,1,600,319,0.000139,17.4
-0.769551079,6.61,4.23,1.18,0.657175141,0.011,403.559322,551.1694915,5.009265537,600,319,0.000139,14.75802328
-0.721246399,5.98,4.07,0.2,0.657175141,0.005,403.559322,551.1694915,5.009265537,600,300,4.87E-05,22
-0.602059991,6.33,4,0.2,0.657175141,0.01,950,600,24,600,319,6.10E-05,10.7
-0.522878745,6.61,4.23,1.18,0.657175141,0.011,403.559322,551.1694915,5.009265537,500,465,1.19E-05,14.75802328
-0.522878745,5.9,3.9,0.17,0.657175141,0.0031,403.559322,720,2,650,310,5.46E-05,17.82
-0.488116639,6.61,4.23,1.18,0.657175141,0.011,403.559322,551.1694915,5.009265537,700,42,1.79E-05,14.75802328
-0.468521083,5.98,4.07,0.2,0.657175141,0.005,403.559322,551.1694915,5.009265537,600,278,3.37E-05,24
-0.468521083,5.79,3.86,0.07,0.657175141,0.015807345,800,800,0.66,700,126,0.00011,3.62
-0.455931956,6,4,0.4,0.657175141,0.05,403.559322,551.1694915,5.009265537,600,250,0.000111,35.9
-0.443697499,6.61,4.23,1.18,0.657175141,0.011,403.559322,950,1,500,520,4.43E-05,10.9
-0.443697499,6.61,4.23,1.18,0.657175141,0.011,403.559322,551.1694915,5.009265537,500,520,4.43E-05,14.75802328
-0.431798276,6.61,4.23,1.18,0.657175141,0.011,403.559322,950,1,600,291,7.80E-05,20.1
-0.30980392,6.61,4.23,1.18,0.657175141,0.011,403.559322,551.1694915,5.009265537,700,125,0.000128,14.75802328
-0.251811973,6.33,4,0.2,0.657175141,0.01,403.559322,1050,0.5,600,319,5.53E-05,23.6
-0.207608311,6.33,4,0.2,0.657175141,0.01,403.559322,190,6,600,250,5.38E-05,19.4
-0.207608311,6.61,4.23,1.18,0.657175141,0.011,403.559322,551.1694915,5.009265537,600,250,4.43E-05,19.38
-0.165579296,5.98,4.25,0.23,0.657175141,0.015807345,403.559322,750,1,650,150,0.000174,2.096
-0.15490196,5.9,3.9,0.17,0.657175141,0.0031,403.559322,720,2,650,241,2.83E-05,5.36
-0.086186148,5.98,4.07,0.2,0.657175141,0.005,403.559322,551.1694915,5.009265537,600,250,2.02E-05,28.4
-0.079354999,6.61,4.23,1.18,0.657175141,0.011,403.559322,551.1694915,5.009265537,600,125,2.50E-06,14.75802328
0,5.79,3.86,0.07,0.657175141,0.015807345,800,800,0.66,700,18,2.60E-06,1
0,5.79,3.86,0.07,0.657175141,0.015807345,800,800,0.66,700,45,1.10E-05,3.9
0,5.79,3.86,0.07,0.657175141,0.015807345,800,800,0.66,700,81,3.50E-05,16.45
0.089905111,6.33,4,0.2,0.657175141,0.01,950,600,24,600,250,2.21E-05,19.5
0.089905111,6.61,4.23,1.18,0.657175141,0.011,403.559322,551.1694915,5.009265537,600,222,2.54E-05,21.3
0.137037455,5.98,4.25,0.23,0.657175141,0.015807345,403.559322,750,1,650,150,0.000136,2.071
0.243038049,6.33,4,0.2,0.657175141,0.01,403.559322,1050,0.5,600,250,2.00E-05,16.9
0.283301229,6.61,4.23,1.18,0.657175141,0.011,403.559322,950,1,500,465,1.19E-05,12.9
0.283301229,6.61,4.23,1.18,0.657175141,0.011,403.559322,551.1694915,5.009265537,500,465,1.19E-05,14.75802328
0.340444115,5.98,4.07,0.2,0.657175141,0.005,403.559322,551.1694915,5.009265537,600,222,1.14E-05,37.5
0.456366033,6,4,0.25,0.657175141,0.05,403.559322,900,2,550,300,3.05E-06,4.82
0.670616886,5.98,4.25,0.23,0.657175141,0.015807345,403.559322,750,1,650,100,3.48E-05,2.614
0.683677299,5.98,4.25,0.23,0.657175141,0.015807345,403.559322,750,1,650,100,4.95E-05,2.686
0.726727209,6.61,4.23,1.18,0.657175141,0.011,403.559322,551.1694915,5.009265537,500,361,9.64E-07,14.75802328
0.746634199,6,4,0.4,0.657175141,0.05,403.559322,551.1694915,5.009265537,600,125,1.13E-05,40.17
0.837588438,6,4,0.25,0.657175141,0.05,403.559322,900,2,550,300,2.55E-06,14.85
0.88422877,6,4,0.25,0.657175141,0.05,403.559322,900,2,550,300,2.25E-06,17.94
0.903089987,6.44,3.87,0.25,0.657175141,0.05,403.559322,551.1694915,5.009265537,600,200,3.86E-06,42
0.937517892,5.9,3.9,0.17,0.657175141,0.0031,403.559322,720,2,315,673,5.56E-08,2.49
0.959041392,5.9,3.9,0.17,0.657175141,0.0031,403.559322,720,2,650,138,3.00E-06,5.36
1.061829307,6.61,4.23,1.18,0.657175141,0.011,403.559322,551.1694915,5.009265537,500,319,2.38E-06,14.75802328
1.096910013,6.61,4.23,1.18,0.657175141,0.011,403.559322,551.1694915,5.009265537,700,14,1.10E-06,14.75802328
1.146128036,6.33,4,0.2,0.657175141,0.01,403.559322,190,6,600,125,2.72E-06,26.3
1.146128036,6.61,4.23,1.18,0.657175141,0.011,403.559322,950,1,600,125,2.55E-06,26.3
1.146128036,6.61,4.23,1.18,0.657175141,0.011,403.559322,551.1694915,5.009265537,600,125,2.50E-06,14.75802328
1.301029996,6.61,4.23,1.18,0.657175141,0.011,403.559322,551.1694915,5.009265537,500,312,3.20E-07,14.75802328
1.343802333,6.33,4,0.2,0.657175141,0.01,950,600,24,600,125,2.05E-06,36.8
1.380211242,6.29,3.027062147,0.05,3.38,0.05,950,530,6,550,350,1.73E-06,44.9
1.39375064,6.61,4.23,1.18,0.657175141,0.011,1050,950,1,500,403,3.98E-07,6.614
1.450095076,6.61,4.23,1.18,0.657175141,0.011,403.559322,950,1,500,361,9.64E-07,15
1.477121255,6.29,3.027062147,0.05,3.38,0.05,950,530,6,550,300,7.81E-07,42.8
1.512150537,6.33,4,0.2,0.657175141,0.01,403.559322,1050,0.5,600,125,1.66E-06,34.7
1.556302501,6.51,4.08,0.16,0.657175141,0.005,403.559322,720,5.009265537,455,489,9.69E-05,14.75802328
1.60346916,6.61,4.23,1.18,0.657175141,0.011,403.559322,950,1,600,97,9.81E-07,52.9
1.668944734,6,4,0.25,0.657175141,0.05,403.559322,900,2,500,300,2.70E-07,7.48
1.698970004,6,4,0.25,0.657175141,0.05,403.559322,551.1694915,5.009265537,538,241,5.90E-05,13.5
1.698970004,6.29,3.027062147,0.05,3.38,0.05,403.559322,551.1694915,5.009265537,500,300,2.83E-07,56.6
