SL.No,No of cycles,fatigue stress(strength) (MPa),Solution temp (cel),Sol time (hrs),Temp.  measurement  (cel),Ann/Age. temp (cel),Ann/age time (hrs),total strain (%),R,Frequency(Hz),Ti,Al,V,C,N,O,H,Fe,Si,Sn,Nb,Mo,Zr
1,86,1067.63,1020,1,25,700,2,1.25,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7
2,102,685.38,1025,2,450,1025,2,1,0,0,85.01,5.75,0,0.065,0.002,0.09,0,0,0.305,4.02,0.71,0.505,3.54
3,103,725,1025,2,375,1025,2,1,0,0,85.01,5.75,0,0.065,0.002,0.09,0,0,0.305,4.02,0.71,0.505,3.54
4,103,700.06,1025,2,400,1025,2,1,0,0,85.01,5.75,0,0.065,0.002,0.09,0,0,0.305,4.02,0.71,0.505,3.54
5,103,711.56,1025,2,425,1025,2,1,0,0,85.01,5.75,0,0.065,0.002,0.09,0,0,0.305,4.02,0.71,0.505,3.54
6,103,649.41,1025,2,500,1025,2,1,0,0,85.01,5.75,0,0.065,0.002,0.09,0,0,0.305,4.02,0.71,0.505,3.54
7,116,912.52,1020,1,25,0,0,0.8,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7
8,143,1061.22,1020,1,25,700,2,1.25,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7
9,148,910.33,1020,1,25,0,0,0.8,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7
10,149,928.1,1020,1,25,700,2,1,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7
11,173,935.34,1020,1,25,700,2,1,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7
12,182,1059.34,1020,1,25,700,2,1.25,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7
13,209,918.5,1020,1,25,0,0,0.8,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7
14,211,935.22,1020,1,25,700,2,1,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7
15,234,695.05,1025,2,450,1025,2,1,0,0,85.01,5.75,0,0.065,0.002,0.09,0,0,0.305,4.02,0.71,0.505,3.54
16,235,1049.37,1025,2,25,700,2,1.25,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7
17,235,709.43,1020,1,425,1025,2,1,0,0,85.01,5.75,0,0.065,0.002,0.09,0,0,0.305,4.02,0.71,0.505,3.54
18,249,915.24,1020,1,25,0,0,0.8,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7
19,249,935.1,1020,1,25,700,2,1,-1,0.2,84.9,5.8,0,0.05,0.0025,0,0.004,0,0.34,4,0.7,0.5,3.7
