No of cycles(log-scaled),fatigue stress(strength) (MPa),Solution temp (cel),Sol time (hrs),Temp.  measurement  (cel),Ann/Age. temp (cel),Ann/age time (hrs),total strain (%),R,Frequency(Hz),Al,H,Mo
1.934498451,1.66037,0.661034,-0.174477,-0.880598,-0.528499,-0.208465,0.436797,-0.928914,-0.842537,-0.45803,0.276653,-0.279634
2.008600172,-0.138214,0.69805,1.65978,1.12318,1.6906,-0.208465,-0.066884,0.325755,1.34742,-0.552166,-0.00337099,-0.268715
2.012837225,0.0482078,0.69805,1.65978,0.769573,1.6906,-0.208465,-0.066884,0.325755,1.34742,-0.552166,-0.00337099,-0.268715
2.012837225,-0.069141,0.69805,1.65978,0.887442,1.6906,-0.208465,-0.066884,0.325755,1.34742,-0.552166,-0.00337099,-0.268715
2.012837225,-0.0150307,0.69805,1.65978,1.00531,1.6906,-0.208465,-0.066884,0.325755,1.34742,-0.552166,-0.00337099,-0.268715
2.012837225,-0.307462,0.69805,1.65978,1.35892,1.6906,-0.208465,-0.066884,0.325755,1.34742,-0.552166,-0.00337099,-0.268715
2.064457989,0.930535,0.661034,-0.174477,-0.880598,-0.627444,0.612181,-0.469829,-0.928914,-0.842537,-0.45803,0.276653,-0.279634
2.155336037,1.63021,0.661034,-0.174477,-0.880598,-0.528499,-0.208465,0.436797,-0.928914,-0.842537,-0.45803,0.276653,-0.279634
2.170261715,0.920231,0.661034,-0.174477,-0.880598,-0.627444,0.612181,-0.469829,-0.928914,-0.842537,-0.45803,0.276653,-0.279634
2.173186268,1.00384,0.661034,-0.174477,-0.880598,-0.528499,-0.208465,-0.066884,-0.928914,-0.842537,-0.45803,0.276653,-0.279634
2.238046103,1.03791,0.661034,-0.174477,-0.880598,-0.528499,-0.208465,-0.066884,-0.928914,-0.842537,-0.45803,0.276653,-0.279634
2.260071388,1.62136,0.661034,-0.174477,-0.880598,-0.528499,-0.208465,0.436797,-0.928914,-0.842537,-0.45803,0.276653,-0.279634
2.320146286,0.958673,0.661034,-0.174477,-0.880598,-0.627444,0.612181,-0.469829,-0.928914,-0.842537,-0.45803,0.276653,-0.279634
2.324282455,1.03734,0.661034,-0.174477,-0.880598,-0.528499,-0.208465,-0.066884,-0.928914,-0.842537,-0.45803,0.276653,-0.279634
2.369215857,-0.0927143,0.69805,1.65978,1.12318,1.6906,-0.208465,-0.066884,0.325755,1.34742,-0.552166,-0.00337099,-0.268715
2.371067862,1.57445,0.69805,1.65978,-0.880598,-0.528499,-0.208465,0.436797,-0.928914,-0.842537,-0.45803,0.276653,-0.279634
2.371067862,-0.0250529,0.661034,-0.174477,1.00531,1.6906,-0.208465,-0.066884,0.325755,1.34742,-0.552166,-0.00337099,-0.268715
2.396199347,0.943334,0.661034,-0.174477,-0.880598,-0.627444,0.612181,-0.469829,-0.928914,-0.842537,-0.45803,0.276653,-0.279634
2.396199347,1.03678,0.661034,-0.174477,-0.880598,-0.528499,-0.208465,-0.066884,-0.928914,-0.842537,-0.45803,0.276653,-0.279634
2.416640507,-0.0738933,0.69805,1.65978,0.887442,1.6906,-0.208465,-0.066884,0.325755,1.34742,-0.552166,-0.00337099,-0.268715
2.418301291,-0.306803,0.69805,1.65978,1.35892,1.6906,-0.208465,-0.066884,0.325755,1.34742,-0.552166,-0.00337099,-0.268715
2.439332694,1.53615,0.661034,-0.174477,-0.880598,-0.528499,-0.208465,0.436797,-0.928914,-0.842537,-0.45803,0.276653,-0.279634
2.45484486,0.00586056,0.69805,1.65978,0.769573,1.6906,-0.208465,-0.066884,0.325755,1.34742,-0.552166,-0.00337099,-0.268715
2.482873584,1.51474,0.661034,-0.174477,-0.880598,-0.528499,-0.208465,0.436797,-0.928914,-0.842537,-0.45803,0.276653,-0.279634
2.503790683,-0.0267468,0.69805,1.65978,1.00531,1.6906,-0.208465,-0.066884,0.325755,1.34742,-0.552166,-0.00337099,-0.268715
2.511883361,0.922536,0.661034,-0.174477,-0.880598,-0.627444,0.612181,-0.469829,-0.928914,-0.842537,-0.45803,0.276653,-0.279634
2.5132176,1.02092,0.661034,-0.174477,-0.880598,-0.528499,-0.208465,-0.066884,-0.928914,-0.842537,-0.45803,0.276653,-0.279634
2.523746467,-0.154047,0.69805,1.65978,1.12318,1.6906,-0.208465,-0.066884,0.325755,1.34742,-0.552166,-0.00337099,-0.268715
2.526339277,-0.309767,0.69805,1.65978,1.35892,1.6906,-0.208465,-0.066884,0.325755,1.34742,-0.552166,-0.00337099,-0.268715
2.568201724,0.90715,0.661034,-0.174477,-0.880598,-0.627444,0.612181,-0.469829,-0.928914,-0.842537,-0.45803,0.276653,-0.279634
2.568201724,1.01043,0.661034,-0.174477,-0.880598,-0.528499,-0.208465,-0.066884,-0.928914,-0.842537,-0.45803,0.276653,-0.279634
2.595496222,-0.0411919,0.69805,1.65978,0.769573,1.6906,-0.208465,-0.066884,0.325755,1.34742,-0.552166,-0.00337099,-0.268715
2.596597096,1.438,0.661034,-0.174477,-0.880598,-0.528499,-0.208465,0.436797,-0.928914,-0.842537,-0.45803,0.276653,-0.279634
2.596597096,-0.115064,0.69805,1.65978,0.887442,1.6906,-0.208465,-0.066884,0.325755,1.34742,-0.552166,-0.00337099,-0.268715
2.600972896,0.916561,0.661034,-0.174477,-0.880598,-0.627444,0.612181,-0.469829,-0.928914,-0.842537,-0.45803,0.276653,-0.279634
2.603144373,1.00013,0.661034,-0.174477,-0.880598,-0.528499,-0.208465,-0.066884,-0.928914,-0.842537,-0.45803,0.276653,-0.279634
2.635483747,-0.163905,0.69805,1.65978,1.12318,1.6906,-0.208465,-0.066884,0.325755,1.34742,-0.552166,-0.00337099,-0.268715
2.638489257,-0.33047,0.69805,1.65978,1.35892,1.6906,-0.208465,-0.066884,0.325755,1.34742,-0.552166,-0.00337099,-0.268715
2.641474111,-0.0298993,0.69805,1.65978,1.00531,1.6906,-0.208465,-0.066884,0.325755,1.34742,-0.552166,-0.00337099,-0.268715
2.64738297,0.871626,0.661034,-0.174477,-0.880598,-0.627444,0.612181,-0.469829,-0.928914,-0.842537,-0.45803,0.276653,-0.279634
2.651278014,1.39113,0.661034,-0.174477,-0.880598,-0.528499,-0.208465,0.436797,-0.928914,-0.842537,-0.45803,0.276653,-0.279634
2.663700925,0.979564,0.661034,-0.174477,-0.880598,-0.528499,-0.208465,-0.066884,-0.928914,-0.842537,-0.45803,0.276653,-0.279634
2.686636269,1.36544,0.661034,-0.174477,-0.880598,-0.528499,-0.208465,0.436797,-0.928914,-0.842537,-0.45803,0.276653,-0.279634
2.697229343,0.875719,0.661034,-0.174477,-0.880598,-0.627444,0.612181,-0.469829,-0.928914,-0.842537,-0.45803,0.276653,-0.279634
2.698100546,0.969165,0.661034,-0.174477,-0.880598,-0.528499,-0.208465,-0.066884,-0.928914,-0.842537,-0.45803,0.276653,-0.279634
2.712649702,1.34403,0.661034,-0.174477,-0.880598,-0.528499,-0.208465,0.436797,-0.928914,-0.842537,-0.45803,0.276653,-0.279634
2.728353782,-0.0976548,0.69805,1.65978,0.769573,1.6906,-0.208465,-0.066884,0.325755,1.34742,-0.552166,-0.00337099,-0.268715
2.728353782,-0.135956,0.69805,1.65978,0.887442,1.6906,-0.208465,-0.066884,0.325755,1.34742,-0.552166,-0.00337099,-0.268715
2.72916479,-0.160282,0.69805,1.65978,1.12318,1.6906,-0.208465,-0.066884,0.325755,1.34742,-0.552166,-0.00337099,-0.268715
2.72916479,-0.349856,0.69805,1.65978,1.35892,1.6906,-0.208465,-0.066884,0.325755,1.34742,-0.552166,-0.00337099,-0.268715
2.749736316,1.30568,-1.8906,-0.635106,-0.880598,-0.528499,-0.208465,0.436797,-0.928914,-0.842537,-0.45803,0.276653,-0.279634
2.749736316,2.63802,0.661034,-0.174477,0.887442,-0.627444,0.612181,-2.07758,1.29614,-0.82876,-0.45803,-0.00337099,-0.279634
2.752816431,-0.0588836,0.69805,1.65978,1.00531,1.6906,-0.208465,-0.066884,0.325755,1.34742,-0.552166,-0.00337099,-0.268715
2.759667845,0.859815,0.661034,-0.174477,-0.880598,-0.627444,0.612181,-0.469829,-0.928914,-0.842537,-0.45803,0.276653,-0.279634
2.760422483,0.943428,0.661034,-0.174477,-0.880598,-0.528499,-0.208465,-0.066884,-0.928914,-0.842537,-0.45803,0.276653,-0.279634
2.773786445,-0.168657,0.69805,1.65978,0.887442,1.6906,-0.208465,-0.066884,0.325755,1.34742,-0.552166,-0.00337099,-0.268715
2.77524626,1.27583,0.661034,-0.174477,-0.880598,-0.528499,-0.208465,0.436797,-0.928914,-0.842537,-0.45803,0.276653,-0.279634
2.783188691,2.25473,-1.8906,-0.635106,1.12318,-0.627444,0.612181,-2.07758,1.29614,-0.82876,-0.45803,-0.00337099,-0.279634
2.786751422,1.27144,0.661034,-0.174477,-0.880598,-0.528499,-0.208465,0.436797,-0.928914,-0.842537,-0.45803,0.276653,-0.279634
2.7930916,0.908327,0.661034,-0.174477,-0.880598,-0.528499,-0.208465,-0.066884,-0.928914,-0.842537,-0.45803,0.276653,-0.279634
2.802773725,-0.171527,0.69805,1.65978,1.12318,1.6906,-0.208465,-0.066884,0.325755,1.34742,-0.552166,-0.00337099,-0.268715
2.804139432,-0.154118,0.69805,1.65978,0.769573,1.6906,-0.208465,-0.066884,0.325755,1.34742,-0.552166,-0.00337099,-0.268715
2.814247596,0.0112245,0.69805,1.65978,1.00531,1.6906,-0.208465,-0.066884,0.325755,1.34742,-0.552166,-0.00337099,-0.268715
2.815577748,0.858686,0.661034,-0.174477,-0.880598,-0.627444,0.612181,-0.469829,-0.928914,-0.842537,-0.45803,0.276653,-0.279634
2.815577748,0.883248,0.661034,-0.174477,-0.880598,-0.528499,-0.208465,-0.066884,-0.928914,-0.842537,-0.45803,0.276653,-0.279634
2.815577748,-0.124239,0.69805,1.65978,0.887442,1.6906,-0.208465,-0.066884,0.325755,1.34742,-0.552166,-0.00337099,-0.268715
2.824776462,-0.374747,0.69805,1.65978,1.35892,1.6906,-0.208465,-0.066884,0.325755,1.34742,-0.552166,-0.00337099,-0.268715
2.830588669,0.868144,0.661034,-0.174477,-0.880598,-0.528499,-0.208465,-0.066884,-0.928914,-0.842537,-0.45803,0.276653,-0.279634
2.843855423,0.83836,0.661034,-0.174477,-0.880598,-0.528499,-0.208465,-0.066884,-0.928914,-0.842537,-0.45803,0.276653,-0.279634
2.844477176,0.833419,0.661034,-0.174477,-0.880598,-0.627444,0.612181,-0.469829,-0.928914,-0.842537,-0.45803,0.276653,-0.279634
2.848189117,1.17783,0.661034,-0.174477,-0.880598,-0.528499,-0.208465,0.436797,-0.928914,-0.842537,-0.45803,0.276653,-0.279634
